data_type,algo,train.val,auc
CLN_MTB_MET,lr,0,0.7792727272727273
CLN_MTB_PRT_MET,svc,1,0.7328640858052622
CLN_MTB_PRT_MET,svc,0,0.8107272727272727
MIR,svc,1,0.5562259091670857
MIR,svc,0,0.6512727272727272
CLN_MTB_MIR,svc,1,0.7678062678062678
CLN_MTB_MIR,svc,0,0.781
CLN,svc,1,0.7638679403385287
CLN,svc,0,0.751090909090909
MTB,svc,1,0.7084799731858555
MTB,svc,0,0.7743636363636364
CLN_PRT_MET,svc,1,0.7055471761354114
CLN_PRT_MET,svc,0,0.7722727272727272
CLN_PRT_MIR_MET,svc,1,0.6988436400201107
CLN_PRT_MIR_MET,svc,0,0.7753636363636364
PRT,svc,1,0.5903301491536787
PRT,svc,0,0.6619999999999999
CLN_MIR,svc,1,0.746941511647394
CLN_MIR,svc,0,0.7443636363636363
CLN_MET,svc,1,0.7431707725825373
CLN_MET,svc,0,0.7555454545454545
MET,svc,1,0.46664990782637844
MET,svc,0,0.4234545454545455
CLN_MTB_MIR_MET,svc,1,0.7577509636333166
CLN_MTB_MIR_MET,svc,0,0.7826363636363636
CLN_PRT_MIR,svc,1,0.7103234456175633
