data_type,algo,seed,train.val,auc
CLN_MIR_MET,avg,4,0,0.7511818181818182
CLN_MTB_MIR,svc,4,1,0.744228778467909
CLN_MTB_MIR,xgb,4,1,0.782014751552795
CLN_MTB_MIR,lr,4,1,0.7624715320910973
CLN_MTB_MIR,avg,4,1,0.7662111801242235
CLN_PRT_MET,svc,4,0,0.771590909090909
CLN_PRT_MET,xgb,4,0,0.7545909090909091
CLN_PRT_MET,lr,4,0,0.752909090909091
CLN_PRT_MET,avg,4,0,0.7868181818181819
CLN_MIR_MET,svc,4,1,0.7036516563146998
CLN_MIR_MET,xgb,4,1,0.7652587991718427
CLN_MIR_MET,lr,4,1,0.7669099378881987
CLN_MIR_MET,avg,4,1,0.7532789855072464
CLN_MTB_PRT,svc,4,0,0.7928181818181818
CLN_MTB_PRT,xgb,4,0,0.7689545454545454
CLN_MTB_PRT,lr,4,0,0.7773636363636365
CLN_MTB_PRT,avg,4,0,0.8036363636363636
CLN_MTB_PRT_MET,svc,4,1,0.7241369047619048
CLN_MTB_PRT_MET,xgb,4,1,0.7974042443064182
CLN_MTB_PRT_MET,lr,4,1,0.7619616977225674
CLN_MTB_PRT_MET,avg,4,1,0.7604270186335403
CLN_MTB_MET,svc,4,0,0.7920909090909091
CLN_MTB_MET,xgb,4,0,0.7605
CLN_MTB_MET,lr,4,0,0.7525454545454546
CLN_MTB_MET,avg,4,0,0.7957272727272727
CLN_MTB_MET,svc,4,1,0.7329244306418219
CLN_MTB_MET,xgb,4,1,0.7829968944099379
CLN_MTB_MET,lr,4,1,0.7587396480331263
CLN_MTB_MET,avg,4,1,0.761105072463768
MET,svc,4,0,0.5519090909090908
MET,xgb,4,0,0.5292727272727272
MET,lr,4,0,0.5
MET,avg,4,0,0.5321818181818182
CLN,svc,4,1,0.749149844720497
CLN,xgb,4,1,0.769478519668737
CLN,lr,4,1,0.7690812629399585
CLN,avg,4,1,0.7666873706004141
CLN_PRT_MIR_MET,svc,4,0,0.7673636363636364
CLN_PRT_MIR_MET,xgb,4,0,0.7663636363636364
CLN_PRT_MIR_MET,lr,4,0,0.7649090909090909
CLN_PRT_MIR_MET,avg,4,0,0.7852727272727272
MET,svc,4,1,0.3951501035196687
MET,xgb,4,1,0.5389337474120083
MET,lr,4,1,0.5
MET,avg,4,1,0.5317908902691512
CLN_MET,svc,4,0,0.746909090909091
CLN_MET,xgb,4,0,0.7408181818181818
CLN_MET,lr,4,0,0.7426363636363637
CLN_MET,avg,4,0,0.7609090909090909
CLN_MTB_MIR_MET,svc,4,1,0.7323291925465838
CLN_MTB_MIR_MET,xgb,4,1,0.782014751552795
CLN_MTB_MIR_MET,lr,4,1,0.7547541407867495
CLN_MTB_MIR_MET,avg,4,1,0.7624042443064182
CLN_PRT_MIR,svc,6,0,0.7246818181818182
CLN_PRT_MIR,xgb,6,0,0.7625
CLN_PRT_MIR,lr,6,0,0.7555454545454546
CLN_PRT_MIR,avg,6,0,0.7786363636363636
CLN_PRT_MIR_MET,svc,6,1,0.7056573498964803
CLN_PRT_MIR_MET,xgb,6,1,0.7575931677018634
CLN_PRT_MIR_MET,lr,6,1,0.7540062111801242
CLN_PRT_MIR_MET,avg,6,1,0.7332375776397516
CLN_MTB_MIR_MET,svc,6,0,0.7828181818181819
CLN_MTB_MIR_MET,xgb,6,0,0.8021818181818182
CLN_MTB_MIR_MET,lr,6,0,0.7503636363636363
CLN_MTB_MIR_MET,avg,6,0,0.8001818181818182
PRT,svc,6,1,0.603476966873706
PRT,xgb,6,1,0.6123071946169772
PRT,lr,6,1,0.6250207039337475
PRT,avg,6,1,0.6324689440993789
CLN_MTB_PRT_MET,svc,6,0,0.8025454545454546
CLN_MTB_PRT_MET,xgb,6,0,0.7859999999999999
CLN_MTB_PRT_MET,lr,6,0,0.7775454545454545
CLN_MTB_PRT_MET,avg,6,0,0.8092727272727274
MIR,svc,6,1,0.4608669772256729
MIR,xgb,6,1,0.6549378881987578
MIR,lr,6,1,0.63875
MIR,avg,6,1,0.6398059006211181
CLN_MTB_PRT_MIR_MET,svc,6,0,0.7987272727272727
CLN_MTB_PRT_MIR_MET,xgb,6,0,0.7549545454545454
CLN_MTB_PRT_MIR_MET,lr,6,0,0.7622727272727273
CLN_MTB_PRT_MIR_MET,avg,6,0,0.8065454545454546
CLN_PRT_MET,svc,6,1,0.708786231884058
CLN_PRT_MET,xgb,6,1,0.7635520186335404
CLN_PRT_MET,lr,6,1,0.7627691511387164
CLN_PRT_MET,avg,6,1,0.7500284679089028
CLN_MTB_MIR,svc,6,0,0.7712727272727272
CLN_MTB_MIR,xgb,6,0,0.7607727272727274
CLN_MTB_MIR,lr,6,0,0.7617272727272727
CLN_MTB_MIR,avg,6,0,0.7865454545454545
CLN_PRT_MIR,svc,6,1,0.703574016563147
CLN_PRT_MIR,xgb,6,1,0.7551889233954451
CLN_PRT_MIR,lr,6,1,0.7540062111801242
CLN_PRT_MIR,avg,6,1,0.7336231884057971
MTB,svc,6,0,0.7220454545454545
MTB,xgb,6,0,0.7322272727272727
MTB,lr,6,0,0.7639090909090909
MTB,avg,6,0,0.7594545454545455
CLN_MIR,svc,6,1,0.7508074534161491
CLN_MIR,xgb,6,1,0.7671765010351967
CLN_MIR,lr,6,1,0.7662732919254658
CLN_MIR,avg,6,1,0.7706521739130435
CLN,svc,6,0,0.7520454545454546
CLN,xgb,6,0,0.7321818181818183
CLN,lr,6,0,0.7577272727272727
CLN,avg,6,0,0.7592727272727273
CLN_MTB_PRT_MIR_MET,svc,6,1,0.7223550724637682
CLN_MTB_PRT_MIR_MET,xgb,6,1,0.7551643374741202
